"Yahoo App Id","Введите логин и пароль!"
"Please enter a valid month","Введите логин и пароль!"
"Please enter a valid date","Введите логин и пароль!"
"Please enter a valid year","Введите логин и пароль!"
"Please enter <a href=""https://developers.facebook.com/apps"" target=""_blank"">facebook app id</a>","Please1 enter <a href=""https://developers.facebook.com/apps"" target=""_blank"">facebook app id1</a>"
"Please enter <a href="https://developers.facebook.com/apps" target="_blank">facebook app secret key</a>","Please enter <a href=""https://developers.facebook.com/apps"" target="_blank">facebook app secret key1</a>"
"Please enter <a href="https://dev.twitter.com/apps/new" target="_blank">twitter consumer key</a>","Please enter <a href=""https://dev.twitter.com/apps/new"" target="_blank">twitter consumer key1</a>"
"Please enter <a href="https://dev.twitter.com/apps/new" target="_blank">twitter consumer secret</a>","Please enter <a href=""https://dev.twitter.com/apps/new"" target="_blank">twitter consumer secret1</a>"
"Please enter <a href=""http://developer.google.com/"" target="_blank">Google client id</a>","Please enter <a href=""http://developer.google.com/"" target="_blank">Google client id1</a>"
"Please enter <a href=""http://developer.google.com/"" target="_blank">Google client secret key</a>","Please enter <a href="http://developer.google.com/" target="_blank">Google client secret key1</a>"
"Please enter <a href=""http://developer.google.com/"" target="_blank">Google API key</a>","Please enter <a href=""http://developer.google.com/"" target="_blank">Google API key1</a>"
"Please enter <a href=""http://developer.yahoo.com/"" target="_blank">Yahoo consumer key</a>","Please enter <a href=""http://developer.yahoo.com/"" target="_blank">Yahoo consumer key1</a>"
"Please enter <a href=""http://developer.yahoo.com/"" target="_blank">Yahoo app id</a>","Please enter <a href=""http://developer.yahoo.com/"" target="_blank">Yahoo app id1</a>"
"Please enter <a href=""http://developer.yahoo.com/"" target="_blank">Yahoo app secret key</a>","Please enter <a href=""http://developer.yahoo.com/"" target="_blank">Yahoo app secret key1</a>"
"Please enter <a href=""http://developer.yahoo.com/"" target="_blank">Yahoo app id</a>","Please enter <a href=""http://developer.yahoo.com/"" target="_blank">Yahoo app id1</a>"
